"mid","follower","sex","video","master","album","article","channel","time_ave20","play_ave20","weibo","wx","qq","taobao","mail","tiktok","redbook","self_tags","video_tag_combine","video_max_ratio"
40810,7696,"保密",70,0,15,1,0,444.9,2898.15,0,0,0,0,0,0,0,"[]","音乐",0.485714285714286
41593,75876,"保密",304,3,47,3,10,345.1,125866.6,0,0,1,0,0,0,0,"['粤语配音', '粤语翻唱', '粤语', 'RCVO']","动画",0.700657894736842
41784,16636,"男",87,0,48,1,0,276.15,21075.1,0,0,0,0,0,0,0,"[]","娱乐",0.655172413793103
42475,17261,"男",147,3,294,0,0,1446.2,119254.2,0,0,0,0,0,0,0,"['不安', 'Triaon工作室']","游戏",0.836734693877551
43070,78942,"女",185,3,9,0,5,530.7,37644.05,0,0,0,0,0,0,0,"['影评', '解说', '混剪']","游戏",0.578378378378378
43074,34864,"男",255,3,512,7,3,748.45,11891.9,0,0,0,0,0,0,0,"[]","科技",0.776470588235294
43536,1926546,"保密",988,3,316,2,0,9609.8,83965.4,0,0,0,0,0,0,0,"['黑桐谷歌']","游戏",0.994939271255061
43706,38086,"保密",177,3,623,6,7,5526.45,49694.7,0,0,1,0,0,0,0,"['FGO']","游戏",0.864406779661017
43855,204559,"保密",179,3,288,0,0,251.45,84162.8,1,0,1,0,0,0,0,"['litterzy', '吉他', '言和']","音乐",0.893854748603352
44067,1162,"男",163,0,0,0,0,206.15,3540.65,0,0,0,0,0,0,0,"[]","鬼畜",0.957055214723926
44524,270862,"男",103,3,244,1,0,384.9,519778.05,0,0,0,0,0,0,0,"[]","舞蹈",0.893203883495146
45633,935,"男",258,0,0,0,0,959.55,2160.14285714285,0,0,0,0,0,0,0,"[]","游戏",0.984496124031008
46537,53844,"保密",1060,1,16,5,0,1162.75,26845.75,0,0,0,0,0,0,0,"[]","生活",0.984905660377358
47291,629308,"男",236,3,55,2,6,5117.2,392615.1,0,0,0,0,0,0,0,"['抽']","游戏",0.923728813559322
47441,40132,"保密",240,2,193,0,4,189,27125.05,0,0,0,0,0,0,0,"['VRChat', 'Ruriko琉璃子', '虚拟主播', '虚拟UP主', 'Vtuber']","游戏",0.8875
47952,33504,"男",757,0,0,0,0,8505.7,13509.1,0,0,0,0,0,0,0,"[]","游戏",0.97886393659181
48039,97182,"保密",110,0,25,0,0,22349.45,3037.95,0,0,0,0,0,0,0,"[]","游戏",1
48468,10213,"女",108,3,19,0,7,503.65,4141.35,0,0,0,0,0,0,0,"['魔禁', 'KOFXIII', '尸体派对']","游戏",0.740740740740741
49676,189185,"女",56,3,102,0,0,203.45,181401.55,1,0,1,0,0,0,0,"[]","舞蹈",0.910714285714286
50686,4559,"男",167,3,287,0,2,753.6,422.85,1,0,1,0,0,0,0,"['道哥', 'loli控', '合金弹头', '音游爱好者']","游戏",0.994011976047904
51766,795164,"男",107,3,30,0,6,127.9,1015210.2,1,0,1,0,0,0,0,"['九二共识', '梦二']","鬼畜",0.990654205607477
52002,2929,"男",88,3,344,0,0,227.7,17131.65,1,0,0,0,0,0,0,"[]","动画",0.738636363636364
52250,1949974,"男",212,3,31,0,4,522.8,772858.7,1,0,0,0,0,0,0,"['视角姬', 'VR', 'VR游戏']","游戏",0.674528301886792
52465,18795,"女",165,0,0,0,0,2658.25,469814.105263157,0,0,0,0,0,0,0,"[]","其他",0.896969696969697
53456,576873,"女",151,3,89,1,8,567.55,346879.2,1,0,0,0,0,0,0,"['搞笑', '游戏', '翻唱', '实况', '音乐']","游戏",0.46
53865,59553,"保密",474,3,471,0,2,230.3,6964.2,0,0,0,0,0,0,0,"['AE评测', '球鞋', '篮球鞋', '篮球']","生活",0.831223628691983
54040,73700,"保密",65,3,4,0,4,125.05,242046.9,0,0,0,0,0,0,0,"[]","科技",0.8
54081,96240,"保密",240,3,93,2,6,659.1,14706.6,0,0,1,0,0,0,0,"[]","动画",0.8125
54230,1673,"男",216,0,0,0,0,300.05,7467.3,0,0,0,0,0,0,0,"[]","音乐",0.972222222222222
54262,378,"保密",88,1,3,1,1,437.05,2352.3,0,0,0,0,0,0,0,"[]","游戏",0.931818181818182
55383,8616,"保密",1904,3,12,0,2,1006,826.5,0,0,0,0,0,0,0,"['动态字体', 'GMV', '史诗音乐', '同人音乐', '激战2']","游戏",0.540966386554622
55645,6555,"男",124,0,23,0,0,365.55,2776.15,0,0,0,0,0,0,0,"[]","生活",0.943548387096774
56613,21895,"男",1183,3,5,5,0,375.35,19080.25,0,0,0,0,0,0,0,"[]","动画",0.741335587489434
57271,3784,"男",110,1,73,1,5,13367.7,758.05,0,0,0,0,0,0,0,"[]","游戏",0.881818181818182
57621,8758,"女",87,1,14,0,0,1030.25,7937.05,0,0,0,0,0,0,0,"['DOTA2解说']","游戏",0.988505747126437
58612,13581,"保密",173,3,0,0,0,2422.55,7066.1,0,0,0,0,0,0,0,"[]","音乐",0.647398843930636
58664,82718,"男",884,3,228,0,10,26744.9,2591.55,1,0,1,0,1,0,0,"[]","游戏",0.990950226244344
59359,21009,"男",167,0,0,0,0,5065.45,122978,0,0,0,0,0,0,0,"[]","游戏",0.538922155688623
59948,27192,"男",200,0,3,0,0,331.15,44405,0,0,0,0,0,0,0,"[]","鬼畜",0.585
60058,293620,"男",6574,3,138,14,0,423.6,4615.25,0,0,1,0,0,0,0,"[]","生活",0.343017949498023
60484,15666,"女",221,3,42,7,10,2923.75,1579.45,0,0,0,0,0,0,0,"['苦逼的后期', 'gal老司机', '罚吹']","其他",0.85972850678733
61112,68971,"保密",185,3,53,0,0,293.05,8448.9,0,0,0,0,0,0,0,"['违和感粉碎', '机巧少女不会受伤', '论BGM的重要性', '新番红白战', '中二病也要谈恋爱']","动画",0.913513513513514
61790,11965,"男",225,0,1,0,0,8519.25,5457.0625,0,0,0,0,0,0,0,"[]","生活",0.368888888888889
62093,40075,"女",56,3,15,0,0,252.9,16829.85,1,0,1,0,0,0,0,"[]","音乐",0.964285714285714
62173,17974,"保密",101,3,0,0,0,244.7,20016,1,0,1,0,0,0,0,"[]","音乐",0.95049504950495
62327,74072,"保密",428,3,583,1,9,4182.8,13838.95,0,0,1,0,0,0,0,"[]","游戏",0.974299065420561
63231,2279921,"男",110,3,23,0,4,509.65,1197030.05,1,0,0,1,0,0,0,"['杂谈', '吐槽', '剪辑', '动画', '泛鸽鸽骗过你吗']","动画",0.845454545454545
63426,4568,"保密",147,3,31,12,5,499.9,32130.1,0,0,0,0,0,0,0,"[]","游戏",0.598639455782313
63613,2990,"男",65,3,85,820,8,1876.3,972.3,0,0,0,0,0,0,0,"['海叔', 'CLive', '海胆工作室', '铁柱基金会']","游戏",0.661538461538462
64130,871,"男",107,0,0,0,0,991.9,1335.5,0,0,0,0,0,0,0,"[]","游戏",0.981308411214953
64459,3749,"保密",55,0,0,0,0,757.2,46321.25,0,0,0,0,0,0,0,"[]","动画",0.436363636363636
64518,631,"男",64,3,0,0,5,1405.2,694.3,0,0,0,0,0,0,0,"['鋼彈', 'Splatoon', '遊戲', 'Sony', 'Nintendo']","游戏",0.984375
64845,2516,"男",436,3,0,0,0,1911.7,434.05,0,0,0,0,0,0,0,"[]","游戏",0.926605504587156
65061,5507,"男",335,3,1,1,3,992.05,13402.25,0,0,0,0,0,0,0,"[]","动画",0.349253731343284
65163,9727,"男",165,1,0,0,0,402.15,37795.4705882352,0,0,0,0,0,0,0,"[]","动画",0.812121212121212
66304,5275,"男",69,3,0,0,0,102.15,32201.35,0,0,0,0,0,0,0,"[]","鬼畜",0.739130434782609
66461,17040,"男",111,0,0,0,0,190,30943.25,0,0,0,0,0,0,0,"[]","动画",0.963963963963964
66867,31881,"保密",67,3,39,0,0,1815.2,6809.95,0,0,0,0,0,0,0,"[]","游戏",0.985074626865672
67141,405888,"保密",67,2,60,1,0,5029.4,159888.65,1,0,1,0,0,0,0,"['双马尾太阳骑士']","游戏",0.970149253731343
67204,254,"男",274,0,4,0,3,2157.2,191.15,0,0,0,0,0,0,0,"[]","游戏",0.992700729927007
67273,3132,"男",148,3,23,0,0,331.8,13093.35,0,0,0,0,0,0,0,"[]","音乐",0.614864864864865
69307,820501,"男",218,3,27,1,3,630.8,274521.2,1,0,1,0,0,0,0,"['库特菌', '石雕', '高达', '单机', '主机']","游戏",0.830275229357798
70093,159718,"男",456,0,0,0,0,2303.35,147188.55,0,0,0,0,0,0,0,"[]","游戏",0.921052631578947
70432,24619,"保密",103,0,0,0,0,11855.2,1155941,0,0,0,0,0,0,0,"[]","生活",0.689320388349515
70666,465557,"男",791,3,26,0,8,2227.85,65646.95,1,0,0,0,0,0,0,"['舍长', '单机游戏', '相声', '单口相声']","游戏",0.97724399494311
71106,49073,"女",83,2,13,0,5,297.5,39746.85,0,0,0,0,0,0,0,"[]","舞蹈",0.771084337349398
72826,24907,"男",285,3,0,0,0,1513.4,43978.7,0,0,0,0,0,0,0,"[]","动画",0.698245614035088
